Datetime,FRAC_DAYS_SINCE_JAN1,FRAC_HRS_SINCE_JAN1,JULIAN_DAYS,EPOCH_TIME,ALARM_STATUS_G23,INST_STATUS,CavityPressure,CavityTemp,DasTemp,EtalonTemp,WarmBoxTemp,species,MPVPosition,OutletValve,solenoid_valves,CO2,CO2_dry,CH4,CH4_dry,H2O,CH4_G23,bg_G23,CH4_ele_G23,Latitude,Longitude,Speed [m/s]
2022-09-06 11:38:41.758,248.48478065,5963.634736,249.48478065,1662464285.048,0,963,140.01540919,44.997629703,52.262085635,44.948558449,44.997081398,1.0,0.0,52799.987699,0.0,456.69567769,465.54564879,2.0724443947,2.105409574,1.2307272894,2.013250498614093,2.0037407845852533,0.0095097140288396,51.9201,4.5236,0.43727777777777777
2022-09-06 11:38:44.897,248.48481699,5963.635608,249.48481699,1662464288.188,0,963,140.00282279,44.997612,52.25,44.948570251,44.997093201,1.0,0.0,52802.022509,0.0,456.11165538,465.54627797,2.0721210059,2.1052987832,1.2261328505,2.013136243310222,2.0037407845852533,0.00939545872496872,51.9201,4.5236,0.2006388888888889
2022-09-06 11:38:48.018,248.4848531,5963.636474,249.4848531,1662464291.308,0,963,139.98504485,44.997520447,52.25,44.948356628,44.996940613,1.0,0.0,52797.470496,0.0,455.34736492,464.94322268,2.0722249297,2.1049416141,1.2286148785,2.01276790528889,2.0037407845852533,0.009027120703636538,51.9201,4.5236,0.5761666666666666
2022-09-06 11:38:51.137,248.48488921,5963.637341,249.48488921,1662464294.428,0,963,139.96162781,44.997520447,52.25,44.948356628,44.996940613,1.0,0.0,52792.160636,0.0,453.71813515,464.18619247,2.0711140716,2.1051292549,1.2321823338,2.0129614137446694,2.003733005854877,0.0092284078897924,51.9201,4.5236,0.2006388888888889
2022-09-06 11:38:54.276,248.48492554,5963.638213,249.48492554,1662464297.567,0,963,139.95290033,44.997764587,52.25,44.948509216,44.997154236,1.0,0.0,52767.747691,0.0,451.57425346,462.51168666,2.0703131262,2.1039498148,1.2248585215,2.0117450917484114,2.003733005854877,0.008012085893534415,51.9201,4.5236,0.1388888888888889
2022-09-06 11:38:57.420,248.48496193,5963.639086,249.48496193,1662464300.711,0,963,140.03820801,44.997489929,52.25,44.948600769,44.996788025,1.0,0.0,52789.671875,0.0,450.82300824,460.27827858,2.0702141958,2.1029563506,1.2189142224,2.0107205612453747,2.003733005854877,0.006987555390497668,51.9201,4.5236,0.08230555555555556
2022-09-06 11:39:00.533,248.48499796,5963.639951,249.48499796,1662464303.824,0,963,139.98518968,44.997489929,52.25,44.948600769,44.996788025,1.0,0.0,52787.997381,0.0,451.40001225,459.50904841,2.0705577008,2.1028427024,1.2238873984,2.0106033591886567,2.003733005854877,0.006870353333779722,51.9201,4.5235,0.30866666666666664
2022-09-06 11:39:03.640,248.48503391,5963.640814,249.48503391,1662464306.93,0,963,140.02392041,44.997398376,52.25,44.948448181,44.99672699,1.0,0.0,52794.832642,0.0,450.15076697,460.11291272,2.0699188145,2.1032506591,1.2232696818,2.011024072972876,2.003733005854877,0.007291067117999095,51.9201,4.5235,0.29838888888888887
2022-09-06 11:39:06.752,248.48506994,5963.641679,249.48506994,1662464310.043,0,963,140.00733948,44.997093201,52.25,44.948753357,44.997093201,1.0,0.0,52800.355469,0.0,448.0342691,458.87771192,2.0709218061,2.1027451299,1.2344748304,2.010502735530042,2.003733005854877,0.006769729675164982,51.9201,4.5235,0.6533333333333333
2022-09-06 11:39:09.897,248.48510634,5963.642552,249.48510634,1662464313.188,0,963,139.99809569,44.997093201,52.25,44.948753357,44.997093201,1.0,0.0,52805.783538,0.0,447.55508391,456.82526882,2.0715517241,2.104161133,1.2525561686,2.011963018012636,2.003733005854877,0.008230012157758981,51.9201,4.5235,0.3446666666666666
2022-09-06 11:39:13.013,248.48514241,5963.643418,249.48514241,1662464316.304,0,963,139.9978445,44.997276306,52.25,44.948600769,44.99697113,1.0,0.0,52800.188547,0.0,447.96971984,456.40392285,2.0717898471,2.1050556012,1.2532222352,2.0128854568432417,2.003733005854877,0.009152450988364702,51.9201,4.5235,0.036
2022-09-06 11:39:16.111,248.48517826,5963.644278,249.48517826,1662464319.402,0,963,140.00610965,44.997216976,52.25,44.948758983,44.996892023,1.0,0.0,52801.603745,0.0,446.30881725,456.83305252,2.0721226884,2.1053213791,1.2543100648,2.0131595457994242,2.003725227124501,0.009434318674923059,51.9201,4.5235,0.03086111111111111
2022-09-06 11:39:19.240,248.48521448,5963.645147,249.48521448,1662464322.531,0,963,140.00506094,44.997184753,52.25,44.94884491,44.99684906,1.0,0.0,52813.364058,0.0,446.10230705,455.12577322,2.072311642,2.105608311,1.2494435133,2.0134554502556137,2.003725227124501,0.009730223131112492,51.9201,4.5235,0.08744444444444445
2022-09-06 11:39:22.367,248.48525066,5963.646016,249.48525066,1662464325.657,0,963,139.98087222,44.997489929,52.25,44.948661804,44.99672699,1.0,0.0,52805.604519,0.0,445.11568371,454.89815755,2.0722866641,2.1057356595,1.249546487,2.0135867810300554,2.003733005854877,0.00985377517517838,51.9201,4.5235,0.12347222222222222
2022-09-06 11:39:25.470,248.48528659,5963.646878,249.48528659,1662464328.761,0,963,140.00558028,44.997489929,52.25,44.948661804,44.99672699,1.0,0.0,52808.672813,0.0,445.27287275,453.87427361,2.0722970257,2.1056425034,1.2444506638,2.013490711875279,2.003733005854877,0.009757706020402157,51.9201,4.5235,0.05658333333333333
2022-09-06 11:39:28.577,248.48532253,5963.647741,249.48532253,1662464331.867,0,963,140.0111153,44.997367859,52.226256983,44.948600769,44.99684906,1.0,0.0,52816.393724,0.0,445.03996711,454.03300296,2.072396447,2.1056471241,1.2491111794,2.0134954770677194,2.0039410760073766,0.009554401060342776,51.9201,4.5235,0.25722222222222224
2022-09-06 11:39:31.696,248.48535863,5963.648607,249.48535863,1662464334.986,0,963,140.01311126,44.997367859,52.25,44.948519838,44.997010921,1.0,0.0,52818.263165,0.0,444.84888881,453.82401705,2.0722678287,2.1058566492,1.2524437837,2.0137115541604844,2.0042699255398984,0.009441628620586062,51.9201,4.5235,0.25722222222222224
2022-09-06 11:39:34.818,248.48539478,5963.649475,249.48539478,1662464338.109,0,963,139.99706045,44.997367859,52.25,44.948509216,44.997032166,1.0,0.0,52817.749007,0.0,443.55055724,453.64608842,2.0725053853,2.1057903948,1.2538581913,2.0136432279402134,2.0047928493348595,0.008850378605353981,51.9201,4.5235,0.20577777777777778
2022-09-06 11:39:37.934,248.48543084,5963.65034,249.48543084,1662464341.225,0,963,139.94826273,44.997215271,52.209846369,44.948539734,44.99684906,1.0,0.0,52797.773787,0.0,442.33918237,452.35521507,2.0734390784,2.10615836,1.2617665086,2.014022699662955,2.0063296645804307,0.007693035082524169,51.9201,4.5235,0.3446666666666666
2022-09-06 11:39:41.058,248.485467,5963.651208,249.485467,1662464344.349,0,963,139.97853088,44.997215271,52.25,44.948539734,44.99684906,1.0,0.0,52800.253906,0.0,441.80257545,451.15550753,2.0746262523,2.1072440696,1.2639313906,2.0151423601425575,2.0074858593708482,0.007656500771709318,51.9202,4.5236,0.5401666666666667
2022-09-06 11:39:44.186,248.48550321,5963.652077,249.48550321,1662464347.477,0,963,139.99770326,44.997215271,52.23308011,44.948600769,44.99672699,1.0,0.0,52810.073269,0.0,441.53718731,450.6302467,2.0763987151,2.1085352121,1.2679909342,2.01647387754904,2.0079658135299976,0.008508064019042472,51.9202,4.5236,0.1388888888888889
2022-09-06 11:39:47.318,248.48553944,5963.652947,249.48553944,1662464350.608,0,963,139.98573303,44.997093201,52.25,44.948448181,44.996879578,1.0,0.0,52820.139632,0.0,440.75469542,450.39803118,2.0802509719,2.1104845605,1.2748022663,2.0184841834028857,2.0089312114877664,0.00955297191511928,51.9202,4.5236,0.25722222222222224
2022-09-06 11:39:50.449,248.48557568,5963.653816,249.48557568,1662464353.739,0,963,139.99937959,44.997093201,52.229399441,44.948448181,44.996879578,1.0,0.0,52810.75491,0.0,439.08190218,449.63046289,2.0888746139,2.1145182247,1.2766576203,2.022643983033217,2.010048887740701,0.012595095292516234,51.9202,4.5236,0.7047777777777777
2022-09-06 11:39:53.549,248.48561157,5963.654678,249.48561157,1662464356.84,0,963,140.00230101,44.997093201,52.1875,44.948600769,44.996665955,1.0,0.0,52817.652562,0.0,438.30142905,447.97788397,2.0960200754,2.1234935446,1.2901142128,2.0318999673072997,2.010139657298569,0.021760310008730688,51.9202,4.5236,0.036
2022-09-06 11:39:56.687,248.48564789,5963.655549,249.48564789,1662464359.978,0,963,139.99860664,44.997233986,52.192334254,44.948516298,44.996665955,1.0,0.0,52818.065565,0.0,438.66438586,447.24271546,2.0961963968,2.1309963538,1.2940419004,2.0396373944675994,2.010563109725211,0.02907428474238838,51.9202,4.5236,0.0
2022-09-06 11:39:59.817,248.48568411,5963.656419,249.48568411,1662464363.107,0,963,140.01206034,44.997245789,52.25,44.948509216,44.996665955,1.0,0.0,52816.400272,0.0,438.91434503,447.63127712,2.0981809565,2.1312467155,1.2952866795,2.039895585148695,2.0106736804226877,0.029221904726007164,51.9202,4.5236,0.07716666666666666
2022-09-06 11:40:02.933,248.48572019,5963.657284,249.48572019,1662464366.224,0,963,139.99459975,44.997367859,52.229748603,44.948570251,44.99697113,1.0,0.0,52818.329849,0.0,438.4893934,447.87626906,2.1047183771,2.1332250807,1.2911799494,2.041935815177665,2.0109026682818754,0.03103314689578962,51.9202,4.5236,0.12347222222222222
2022-09-06 11:40:06.052,248.48575628,5963.658151,249.48575628,1662464369.343,0,963,140.00305082,44.997367859,52.1875,44.948570251,44.99697113,1.0,0.0,52818.5534,0.0,438.24896991,447.44992912,2.1145631515,2.139900289,1.2973592043,2.048819761793431,2.0111864142629785,0.03763334753045244,51.9202,4.5236,0.05658333333333333
2022-09-06 11:40:09.203,248.48579274,5963.659026,249.48579274,1662464372.493,0,963,140.00001138,44.997428894,52.21339779,44.948448181,44.996788025,1.0,0.0,52820.535545,0.0,438.03275028,447.25509685,2.1374736428,2.1501088302,1.3055457948,2.059347531038572,2.0114178760580312,0.0479296549805408,51.9202,4.5236,0.04630555555555555
2022-09-06 11:40:12.344,248.48582911,5963.659899,249.48582911,1662464375.635,0,963,139.98738182,44.997276306,52.194060773,44.948448181,44.996665955,1.0,0.0,52818.987461,0.0,438.3075529,447.10272721,2.1364049236,2.173676865,1.3167908406,2.0836525543592246,2.0116877010708887,0.0719648532883359,51.9202,4.5236,0.0
2022-09-06 11:40:15.450,248.48586505,5963.660761,249.48586505,1662464378.74,0,963,139.97335364,44.997276306,52.234636872,44.948448181,44.996665955,1.0,0.0,52809.971718,0.0,437.86287762,447.45762112,2.1575847933,2.1728864897,1.3266952904,2.0828374634845894,2.0118540548805237,0.07098340860406571,51.9202,4.5236,0.0
2022-09-06 11:40:18.558,248.48590102,5963.661624,249.48590102,1662464381.848,0,963,139.99679139,44.997398376,52.25,44.948661804,44.996574402,1.0,0.0,52810.387264,0.0,437.70271744,447.05055483,2.1731230235,2.1946169086,1.3301301623,2.1052474074028686,2.012365461650763,0.09288194575210573,51.9202,4.5236,0.0
2022-09-06 11:40:21.704,248.48593744,5963.662499,249.48593744,1662464384.995,0,963,139.98271575,44.997398376,52.25,44.948584246,44.996714007,1.0,0.0,52802.958866,0.0,437.56640042,446.94796858,2.1862493904,2.2106691293,1.3440363546,2.12180159199113,2.0128266810660658,0.10897491092506417,51.9202,4.5236,0.0
2022-09-06 11:40:24.825,248.48597356,5963.663366,249.48597356,1662464388.116,0,963,140.00710773,44.997398376,52.25,44.948509216,44.99684906,1.0,0.0,52804.066212,0.0,437.73308493,446.87216096,2.1834024616,2.2242811754,1.3481661286,2.135839296055548,2.012838436221501,0.12300085983404685,51.9202,4.5236,0.0
2022-09-06 11:40:27.953,248.48600977,5963.664234,249.48600977,1662464391.244,0,963,140.01939725,44.997459412,52.25,44.948509216,44.996543884,1.0,0.0,52815.271735,0.0,437.64349133,447.08183221,2.1876605097,2.2215455352,1.3552543607,2.133018110520897,2.0129310309840984,0.12008707953679876,51.9202,4.5236,0.14405555555555555
2022-09-06 11:40:31.058,248.48604571,5963.665097,249.48604571,1662464394.349,0,963,140.00926856,44.997472369,52.25,44.948486541,44.99656332,1.0,0.0,52812.29825,0.0,437.88321249,447.02184798,2.1856010021,2.2260067715,1.3571314836,2.1376188527223827,2.0129954624456357,0.12462339027674707,51.9201,4.5236,0.3138055555555555
2022-09-06 11:40:34.190,248.48608194,5963.665967,249.48608194,1662464397.48,0,963,140.00377668,44.997581482,52.25,44.948295593,44.99672699,1.0,0.0,52815.237763,0.0,438.20865723,447.2515439,2.1898443308,2.2238493033,1.3509447433,2.135393919020462,2.0130454594176914,0.12234845960277063,51.9201,4.5236,0.0
2022-09-06 11:40:37.328,248.48611826,5963.666838,249.48611826,1662464400.618,0,963,139.96958923,44.997306824,52.1875,44.948295593,44.996482849,1.0,0.0,52799.46875,0.0,438.84931839,447.59326557,2.1916446727,2.2282049373,1.3597777902,2.13988575666601,2.0130454594176914,0.12684029724831847,51.9201,4.5236,0.0
2022-09-06 11:40:40.449,248.48615439,5963.667705,249.48615439,1662464403.739,0,963,140.00361693,44.997306824,52.1875,44.948295593,44.996482849,1.0,0.0,52806.245548,0.0,439.1006713,448.28166608,2.1942401834,2.2301756879,1.3605921489,2.141918133981245,2.0130454594176914,0.12887267456355378,51.9201,4.5236,0.0
2022-09-06 11:40:43.611,248.486191,5963.668584,249.486191,1662464406.902,0,963,140.00217254,44.997093201,52.1875,44.948387146,44.996574402,1.0,0.0,52810.10285,0.0,439.33682504,448.54159764,2.1961249215,2.2328298037,1.3606780448,2.1446552457923116,2.0130454594176914,0.13160978637462017,51.9201,4.5236,0.010277777777777776
2022-09-06 11:40:46.735,248.48622714,5963.669451,249.48622714,1662464410.025,0,963,139.97313197,44.997112253,52.1875,44.948253779,44.996669664,1.0,0.0,52802.176213,0.0,438.61000713,448.77994921,2.1948301025,2.2347359223,1.3597764056,2.1466209700208303,2.0130454594176914,0.13357551060313888,51.9201,4.5236,0.33952777777777776
2022-09-06 11:40:49.865,248.48626338,5963.670321,249.48626338,1662464413.156,0,963,140.00637042,44.997123718,52.1875,44.948173523,44.99672699,1.0,0.0,52806.342175,0.0,437.67386272,448.14122743,2.1865449701,2.2338425748,1.3901161077,2.1456996869352785,2.0130454594176914,0.13265422751758704,51.9201,4.5236,0.005138888888888888
2022-09-06 11:40:52.975,248.48629936,5963.671185,249.48629936,1662464416.265,0,963,140.02399491,44.997123718,52.1875,44.948265076,44.996482849,1.0,0.0,52825.863958,0.0,437.09687797,447.34125093,2.1815564589,2.2260492792,1.4042432208,2.1376626896671502,2.0130454594176914,0.12461723024945881,51.9201,4.5236,0.13374999999999998
