Datetime,CH4_dry,species,ALARM_STATUS_G23,CH4_G23,bg_G23,CH4_ele_G23,Longitude,Latitude,Speed [m/s]
2024-06-11 12:03:32.374,2.0172540392,1.0,0,1.9223382801223483,1.9097501418437284,0.012588138278619931,5.16509223,52.08854744,4.16
2024-06-11 12:03:35.371,2.0150941214,1.0,0,1.9201108202197652,1.9097501418437284,0.010360678376036825,5.16478594,52.088558004999996,6.175000000000001
2024-06-11 12:03:38.367,2.015320254,1.0,0,1.9203440241403804,1.9097501418437284,0.010593882296652035,5.164501145,52.08855329,5.775
2024-06-11 12:03:41.204,2.010594573,1.0,0,1.9154705678727848,1.9097501418437284,0.005720426029056425,5.16424293,52.08854507,5.03
2024-06-11 12:03:44.203,2.0174282777,1.0,0,1.922517967179067,1.9097501418437284,0.012767825335338712,5.16399695,52.08854631,4.99
2024-06-11 12:03:47.059,2.1695823535,1.0,0,2.079430004692327,1.9097501418437284,0.16967986284859848,5.16377897,52.088551769999995,4.15
2024-06-11 12:03:50.063,2.1757926942,1.0,0,2.0858345469812196,1.9097501418437284,0.17608440513749124,5.163594955,52.088610225,3.505
2024-06-11 12:03:53.211,2.0690940721,1.0,0,1.9757993862039602,1.9097501418437284,0.06604924436023185,5.163482685,52.088532215,5.355
2024-06-11 12:03:56.177,2.0292750898,1.0,0,1.934735237172486,1.9097501418437284,0.02498509532875759,5.163482054999999,52.08835467,6.335
2024-06-11 12:03:59.351,2.0135263673,1.0,0,1.9184940413799123,1.9097501418437284,0.00874389953618393,5.16345505,52.088168435,7.15
2024-06-11 12:04:02.426,2.0078984981,1.0,0,1.9126901848720466,1.9097501418437284,0.0029400430283181844,5.163452599999999,52.087966205,7.6049999999999995
2024-06-11 12:04:05.262,2.007081053,1.0,0,1.9118471777063046,1.9097501418437284,0.0020970358625762575,5.163470595,52.087773535,7.25
2024-06-11 12:04:08.246,2.0065720289,1.0,0,1.9113222360755637,1.9097501418437284,0.0015720942318353526,5.163464100000001,52.087569795,6.83
2024-06-11 12:04:11.246,2.0052501324,1.0,0,1.909959002970528,1.9097501418437284,0.00020886112679963098,5.1635866450000005,52.08746932,4.57
2024-06-11 12:04:14.451,2.0052364773,1.0,0,1.9099449208662387,1.9097501418437284,0.0001947790225103052,5.163790280000001,52.08745994,4.654999999999999
2024-06-11 12:04:17.417,2.0072740057,1.0,0,1.9120461641688196,1.9097501418437284,0.002296022325091185,5.16392181,52.08746505,2.355
2024-06-11 12:04:20.391,2.004919975,1.0,0,1.909618521323476,1.9097501418437284,-0.00013162052025239568,5.164142725,52.087461635,5.205
2024-06-11 12:04:23.423,2.0032211864,1.0,0,1.9078666104454478,1.9097501418437284,-0.001883531398280569,5.164491995000001,52.087459405000004,7.52
2024-06-11 12:04:26.424,2.0050808803,1.0,0,1.9097844582419379,1.9097501418437284,3.431639820949961e-05,5.1648366150000005,52.08747173,7.83
2024-06-11 12:04:29.410,2.0050392855,1.0,0,1.909741562744176,1.9097501418437284,-8.579099552319391e-06,5.165135729999999,52.087492235,6.470000000000001
2024-06-11 12:04:32.401,2.0036978649,1.0,0,1.9083581950072186,1.9097501418437284,-0.0013919468365097831,5.16532075,52.087490975,2.83
2024-06-11 12:04:35.395,2.0035811737,1.0,0,1.9082378547938164,1.9097501418437284,-0.00151228704991202,5.165344545,52.08751548,1.4449999999999998
